category,image
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150620_l-0.5_r-135.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150840_l-0.5_r-135.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150645_l-1.5_r-90.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150718_l-1.0_r-90.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150616_l-0.5_r-45.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150805_l-1.5_r-225.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150728_l-0.5_r-135.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150616_l-0.5_r-0.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150626_l-1.5_r-270.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150840_l-1.5_r-90.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150718_l-0.5_r-315.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150657_l-0.5_r-315.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150616_l-1.0_r-315.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150626_l-1.0_r-135.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150657_l-1.0_r-0.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150626_l-1.5_r-45.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150612_l-1.0_r-180.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150606_l-1.5_r-225.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150657_l-1.5_r-45.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150626_l-1.5_r-0.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150606_l-1.0_r-90.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150645_l-1.0_r-135.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150645_l-1.5_r-270.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150612_l-0.5_r-0.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150718_l-0.5_r-0.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150606_l-1.0_r-45.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150620_l-1.0_r-180.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150840_l-1.0_r-180.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150657_l-1.5_r-90.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150600_l-1.0_r-315.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150606_l-0.5_r-315.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150626_l-0.5_r-180.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150728_l-1.0_r-180.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150626_l-1.5_r-90.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150645_l-1.5_r-0.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150718_l-1.5_r-225.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150657_l-1.5_r-225.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150728_l-1.5_r-0.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150612_l-0.5_r-135.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150840_l-1.5_r-45.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150645_l-0.5_r-180.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150805_l-0.5_r-315.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150616_l-0.5_r-90.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150718_l-1.0_r-45.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150645_l-1.5_r-45.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150620_l-1.5_r-45.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150805_l-1.0_r-90.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150606_l-0.5_r-270.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150718_l-1.5_r-180.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150657_l-1.5_r-180.jpg
musli,/Users/angelovl/tmp/db/musli/IMG_20211206_150620_l-1.0_r-0.jpg
